best_candidate_bt_iptm,best_candidate_bt_pae,best_candidate_contact,best_candidate_plddt,cem_init_method,cem_init_method_id,cem_ranking_metric,cem_round,cem_source_mix,cem_update_rate,elite_count,method,method_id,round_end_entropy,round_start_entropy,samples_per_round,seed
0.5349533557891846,8.171798706054688,2.467129707336426,0.7294580936431885,contact_preserving_soft_cone,M7c,contact,1,0.0,0.6,2,warm_cem_contact_from_M7c,WCEMc_M7c,0.990743100643158,1.5444049835205078,8,0
0.5862460136413574,8.99211597442627,2.4576334953308105,0.7112619876861572,contact_preserving_soft_cone,M7c,contact,2,0.0,0.6,2,warm_cem_contact_from_M7c,WCEMc_M7c,0.6831432580947876,0.990743100643158,8,0
0.4858187735080719,11.034505844116211,2.5498828887939453,0.6786202788352966,contact_qp_grid,M8a,contact,0,0.0,0.6,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.5992627143859863,2.2877087593078613,8,0
0.4146066904067993,11.84184741973877,2.569368600845337,0.6418805718421936,contact_qp_grid,M8a,contact,1,0.0,0.6,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.0474600791931152,1.5992627143859863,8,0
0.4644702076911926,9.559483528137207,2.388622283935547,0.717056930065155,contact_qp_grid,M8a,contact,2,0.0,0.6,2,warm_cem_contact_from_M8a,WCEMc_M8a,0.7192854881286621,1.0474600791931152,8,0
0.41542401909828186,11.9674072265625,2.9054458141326904,0.5972285866737366,naive_weighted,M3,bt_pae,0,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M3,DWCEMp_M3,2.252080202102661,2.401909589767456,8,0
0.2635924220085144,14.15340518951416,2.9396257400512695,0.5079723000526428,naive_weighted,M3,bt_pae,1,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M3,DWCEMp_M3,2.147989511489868,2.252080202102661,8,0
0.3001496493816376,12.739811897277832,2.6678550243377686,0.5454215407371521,naive_weighted,M3,bt_pae,2,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M3,DWCEMp_M3,2.0832719802856445,2.147989511489868,8,0
0.5038671493530273,11.748390197753906,2.94492244720459,0.6000102758407593,contact_preserving_soft_cone,M7c,bt_pae,0,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M7c,DWCEMp_M7c,2.127089500427246,2.27921199798584,8,0
0.5207496881484985,10.722396850585938,2.9087750911712646,0.629224956035614,contact_preserving_soft_cone,M7c,bt_pae,1,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M7c,DWCEMp_M7c,2.0289063453674316,2.127089500427246,8,0
0.5014541149139404,12.764626502990723,2.932833433151245,0.5741226673126221,contact_preserving_soft_cone,M7c,bt_pae,2,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M7c,DWCEMp_M7c,1.9797208309173584,2.0289063453674316,8,0
0.4858187735080719,11.034505844116211,2.5498828887939453,0.6786202788352966,contact_qp_grid,M8a,bt_pae,0,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M8a,DWCEMp_M8a,2.1441049575805664,2.2877087593078613,8,0
0.5032830834388733,11.286314010620117,2.696765899658203,0.650810718536377,contact_qp_grid,M8a,bt_pae,1,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M8a,DWCEMp_M8a,2.0377330780029297,2.1441049575805664,8,0
0.4560500383377075,11.331120491027832,2.92195200920105,0.641669750213623,contact_qp_grid,M8a,bt_pae,2,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M8a,DWCEMp_M8a,1.972734808921814,2.0377330780029297,8,0
0.41542401909828186,11.9674072265625,2.9054458141326904,0.5972285866737366,naive_weighted,M3,contact,0,0.35,0.3,2,diverse_warm_cem_contact_from_M3,DWCEMc_M3,2.253535032272339,2.401909589767456,8,0
0.27474695444107056,15.129459381103516,2.9266269207000732,0.48284709453582764,naive_weighted,M3,contact,1,0.35,0.3,2,diverse_warm_cem_contact_from_M3,DWCEMc_M3,2.154175043106079,2.253535032272339,8,0
0.4302535057067871,13.095291137695312,2.959075450897217,0.5492336750030518,naive_weighted,M3,contact,2,0.35,0.3,2,diverse_warm_cem_contact_from_M3,DWCEMc_M3,2.093632698059082,2.154175043106079,8,0
0.5038671493530273,11.748390197753906,2.94492244720459,0.6000102758407593,contact_preserving_soft_cone,M7c,contact,0,0.35,0.3,2,diverse_warm_cem_contact_from_M7c,DWCEMc_M7c,2.127089500427246,2.27921199798584,8,0
0.5207496881484985,10.722396850585938,2.9087750911712646,0.629224956035614,contact_preserving_soft_cone,M7c,contact,1,0.35,0.3,2,diverse_warm_cem_contact_from_M7c,DWCEMc_M7c,2.0289063453674316,2.127089500427246,8,0
0.5014541149139404,12.764626502990723,2.932833433151245,0.5741226673126221,contact_preserving_soft_cone,M7c,contact,2,0.35,0.3,2,diverse_warm_cem_contact_from_M7c,DWCEMc_M7c,1.9797208309173584,2.0289063453674316,8,0
0.4858187735080719,11.034505844116211,2.5498828887939453,0.6786202788352966,contact_qp_grid,M8a,contact,0,0.35,0.3,2,diverse_warm_cem_contact_from_M8a,DWCEMc_M8a,2.1455743312835693,2.2877087593078613,8,0
0.5216778516769409,11.612494468688965,2.542844772338867,0.6580251455307007,contact_qp_grid,M8a,contact,1,0.35,0.3,2,diverse_warm_cem_contact_from_M8a,DWCEMc_M8a,2.0502748489379883,2.1455743312835693,8,0
0.3786447048187256,12.035597801208496,2.558274745941162,0.6402937173843384,contact_qp_grid,M8a,contact,2,0.35,0.3,2,diverse_warm_cem_contact_from_M8a,DWCEMc_M8a,1.9927157163619995,2.0502748489379883,8,0
0.3952881097793579,11.376683235168457,2.54974627494812,0.6237407326698303,naive_weighted,M3,bt_pae,0,0.0,0.6,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.5057449340820312,2.103086233139038,8,1
0.4364078938961029,10.300779342651367,2.5920145511627197,0.668228030204773,naive_weighted,M3,bt_pae,1,0.0,0.6,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.0150651931762695,1.5057449340820312,8,1
0.4834052324295044,9.145750999450684,2.424572467803955,0.7072713375091553,naive_weighted,M3,bt_pae,2,0.0,0.6,2,warm_cem_bt_pae_from_M3,WCEMp_M3,0.7072592973709106,1.0150651931762695,8,1
