best_candidate_bt_iptm,best_candidate_bt_pae,best_candidate_contact,best_candidate_plddt,cem_init_method,cem_init_method_id,cem_ranking_metric,cem_round,elite_count,method,method_id,round_end_entropy,round_start_entropy,samples_per_round,seed
0.41183382272720337,11.238438606262207,2.598771095275879,0.6241879463195801,naive_weighted,M3,contact,2,2,warm_cem_contact_from_M3,WCEMc_M3,0.7461302280426025,1.078688383102417,8,0
0.2048748880624771,15.7192964553833,3.039370536804199,0.48077651858329773,contact_preserving_soft_cone,M7c,contact,0,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.608633041381836,2.309062957763672,8,0
0.413710355758667,11.067292213439941,2.67637038230896,0.6035561561584473,contact_preserving_soft_cone,M7c,contact,1,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.0496346950531006,1.608633041381836,8,0
0.42164719104766846,10.679646492004395,2.6011297702789307,0.6158787608146667,contact_preserving_soft_cone,M7c,contact,2,2,warm_cem_contact_from_M7c,WCEMc_M7c,0.7120038270950317,1.0496346950531006,8,0
0.3666892349720001,12.091381072998047,2.643636703491211,0.5826207399368286,contact_qp_grid,M8a,contact,0,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.638803243637085,2.336437702178955,8,0
0.48112282156944275,9.43903923034668,2.3514223098754883,0.6971417665481567,contact_qp_grid,M8a,contact,1,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.0807191133499146,1.638803243637085,8,0
0.3929557204246521,12.050806045532227,2.6129822731018066,0.5994994640350342,contact_qp_grid,M8a,contact,2,2,warm_cem_contact_from_M8a,WCEMc_M8a,0.7414186000823975,1.0807191133499146,8,0
0.45888522267341614,10.392670631408691,2.459592819213867,0.6694686412811279,naive_weighted,M3,bt_pae,0,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.5133609771728516,2.0945193767547607,8,1
0.4943598806858063,9.67402172088623,2.474083185195923,0.7064079642295837,naive_weighted,M3,bt_pae,1,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.0421161651611328,1.5133609771728516,8,1
0.4604787230491638,10.41788101196289,2.509052276611328,0.667107343673706,naive_weighted,M3,bt_pae,2,2,warm_cem_bt_pae_from_M3,WCEMp_M3,0.7266858816146851,1.0421161651611328,8,1
0.39050331711769104,9.399116516113281,2.590894937515259,0.6919626593589783,contact_preserving_soft_cone,M7c,bt_pae,0,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.6306962966918945,2.3171567916870117,8,1
0.3175131678581238,12.64704418182373,2.7248778343200684,0.5578848719596863,contact_preserving_soft_cone,M7c,bt_pae,1,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.0510034561157227,1.6306962966918945,8,1
0.3908059298992157,10.217477798461914,2.608933210372925,0.6368699669837952,contact_preserving_soft_cone,M7c,bt_pae,2,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,0.7030447721481323,1.0510034561157227,8,1
0.45888522267341614,10.392670631408691,2.459592819213867,0.6694686412811279,contact_qp_grid,M8a,bt_pae,0,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.4934104681015015,2.096155881881714,8,1
0.5783376693725586,8.021784782409668,2.1976394653320312,0.7694668769836426,contact_qp_grid,M8a,bt_pae,1,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.0000358819961548,1.4934104681015015,8,1
0.5555884838104248,8.607747077941895,2.332273006439209,0.7479473948478699,contact_qp_grid,M8a,bt_pae,2,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,0.7004768252372742,1.0000358819961548,8,1
0.45888522267341614,10.392670631408691,2.459592819213867,0.6694686412811279,naive_weighted,M3,contact,0,2,warm_cem_contact_from_M3,WCEMc_M3,1.5133609771728516,2.0945193767547607,8,1
0.4943598806858063,9.67402172088623,2.474083185195923,0.7064079642295837,naive_weighted,M3,contact,1,2,warm_cem_contact_from_M3,WCEMc_M3,1.0421161651611328,1.5133609771728516,8,1
0.4604787230491638,10.41788101196289,2.509052276611328,0.667107343673706,naive_weighted,M3,contact,2,2,warm_cem_contact_from_M3,WCEMc_M3,0.7426561117172241,1.0421161651611328,8,1
0.39050331711769104,9.399116516113281,2.590894937515259,0.6919626593589783,contact_preserving_soft_cone,M7c,contact,0,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.6306962966918945,2.3171567916870117,8,1
0.3175131678581238,12.64704418182373,2.7248778343200684,0.5578848719596863,contact_preserving_soft_cone,M7c,contact,1,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.0871528387069702,1.6306962966918945,8,1
0.2878919243812561,12.607524871826172,2.728386640548706,0.5597367286682129,contact_preserving_soft_cone,M7c,contact,2,2,warm_cem_contact_from_M7c,WCEMc_M7c,0.7502859830856323,1.0871528387069702,8,1
0.45888522267341614,10.392670631408691,2.459592819213867,0.6694686412811279,contact_qp_grid,M8a,contact,0,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.502346396446228,2.096155881881714,8,1
0.4943598806858063,9.67402172088623,2.474083185195923,0.7064079642295837,contact_qp_grid,M8a,contact,1,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.0043706893920898,1.502346396446228,8,1
0.48055440187454224,9.819695472717285,2.474083185195923,0.7031907439231873,contact_qp_grid,M8a,contact,2,2,warm_cem_contact_from_M8a,WCEMc_M8a,0.6972737312316895,1.0043706893920898,8,1
