aux_harm_count,aux_worst_directional_derivative,cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.00065477384487167,-0.04244891191270756,0.017604530451242783,0.08060075504666318,-0.01625230664686447,0.0,0.16245658281819042,-0.00065477384487167,-2.923515796661377,-0.014137562364339828,-0.023914797231554985,0.0,0.053257640451192856,0.21098986268043518,0.0,0.0,0.0005676402361132205,3.0944061279296875,0.10402610152959824,3.382514476776123,-0.7405557325255359,contact_qp_grid_contact_first,0.06,10,0.0,0,0.0,M8g,0,0.6,1.0,0.0,-2.923515796661377,protenix_contact,0.8026739358901978,-2.9452879428863525,-1.7671727657318115,0.0,0.6097502112388611,0.0,True,0.9926078038384825,0,2.4124457836151123,2.3031387329101562,-0.10930705070495605,1,0.8026739358901978,1.0,-0.00065477384487167
1,0.0005749987903982401,-0.058518409214305074,-0.060624090920880225,0.07111672078547858,0.04856061815879192,0.0,0.1834232963695304,0.0005749987903982401,-2.267618179321289,-0.00397637952119112,-0.0249442420899868,0.0,0.04723537713289261,0.2165980041027069,0.0,0.0,0.00010168681910727173,2.624152660369873,0.0901273638010025,3.3543410301208496,-0.5739909505355172,contact_qp_grid_contact_first,0.06,10,0.0,0,0.0,M8g,0,0.6,1.0,0.25,-2.267618179321289,protenix_contact,0.7106079459190369,-2.286062240600586,-1.3716373443603516,0.0,0.5115065574645996,0.0,True,0.9919319513910333,0,2.3031387329101562,2.2711188793182373,-0.032019853591918945,2,0.7106079459190369,1.0,0.0005749987903982401
0,-0.0005316699971444905,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.0005316699971444905,-4.443285942077637,-0.04617621377110481,-0.016947466880083084,0.0,0.05337988957762718,0.1913032978773117,0.0,0.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.1267353231814923,position_hardening_probability,0.02,8,0.2,0,0.42,M9a,1,0.0,1.0,0.0,-4.443285942077637,protenix_contact,0.9451421499252319,,,,,,,,0,2.7846856117248535,2.4075264930725098,-0.37715911865234375,0,0.9451421499252319,1.0,-0.0005316699971444905
0,-0.0002411278401268646,-0.05076896165364342,0.036908525905705376,0.032341702407850864,0.05708292229538338,0.0,0.16399818350640977,-0.0002411278401268646,-1.2789649963378906,-0.013076474890112877,-0.06411051750183105,0.0,0.05504138767719269,0.19954350590705872,0.0,0.0,0.0005298545002005994,3.0531859397888184,0.06933094561100006,3.3216254711151123,-0.33909827914249036,position_hardening_probability,0.02,8,0.2,0,0.42,M9a,1,0.0,1.0,0.0,-1.2789649963378906,protenix_contact,0.5469297766685486,,,,,,,,0,2.4075264930725098,2.3523449897766113,-0.05518150329589844,1,0.5469297766685486,1.0,-0.0002411278401268646
0,-0.0005152476951479912,-0.05581573026984758,0.11049215825812765,-0.05119659857663496,-0.1244213434597272,0.0,0.1775688333554002,-0.0005152476951479912,-0.6521108746528625,-0.011471008881926537,-0.03400691598653793,0.0,0.04773437976837158,0.19715142250061035,0.0,0.0,0.00031616000342182815,2.733985662460327,0.056772541254758835,3.252382516860962,-0.17452601180411875,position_hardening_probability,0.02,8,0.2,0,0.42,M9a,1,0.0,1.0,0.0,-0.6521108746528625,protenix_contact,0.411624938249588,,,,,,,,0,2.3523449897766113,2.3807852268218994,0.028440237045288086,2,0.411624938249588,1.0,-0.0005152476951479912
0,-0.0005316699971444905,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.0005316699971444905,-4.443285942077637,-0.04617621377110481,-0.016947466880083084,0.0,0.05337988957762718,0.1913032978773117,0.0,0.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.1267353231814923,position_hardening_consensus,0.02,8,0.2,8,0.75,M9b,1,0.0,1.0,0.0,-4.443285942077637,protenix_contact,0.9451421499252319,,,,,,,,0,2.7846856117248535,2.4075264930725098,-0.37715911865234375,0,0.9451421499252319,1.0,-0.0005316699971444905
0,-0.0002411278401268646,-0.05076896165364342,0.036908525905705376,0.032341702407850864,0.05708292229538338,0.0,0.16399818350640977,-0.0002411278401268646,-1.2789649963378906,-0.013076474890112877,-0.06411051750183105,0.0,0.05504138767719269,0.19954350590705872,0.0,0.0,0.0005298545002005994,3.0531859397888184,0.06933094561100006,3.3216254711151123,-0.33909827914249036,position_hardening_consensus,0.02,8,0.2,8,0.75,M9b,1,0.0,1.0,0.0,-1.2789649963378906,protenix_contact,0.5469297766685486,,,,,,,,0,2.4075264930725098,2.3523449897766113,-0.05518150329589844,1,0.5469297766685486,1.0,-0.0002411278401268646
0,-0.001590516185387969,-0.05581573026984758,0.11049215825812765,-0.05119659857663496,-0.1244213434597272,0.0,0.1775688333554002,-0.001590516185387969,-0.5804212093353271,-0.016078777611255646,-0.04241685941815376,0.0416666679084301,0.04773437976837158,0.19715142250061035,1.0,1.0,0.00031616000342182815,2.733985662460327,0.056772541254758835,3.252382516860962,-0.16012684063753113,position_hardening_consensus,0.02,8,0.2,8,0.75,M9b,1,0.0,1.0,0.0,-0.5804212093353271,protenix_contact,0.411624938249588,,,,,,,,0,2.3523449897766113,2.2917540073394775,-0.06059098243713379,2,0.8035755157470703,1.0,-0.001590516185387969
0,-0.0024764728732407093,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.0024764728732407093,-4.122091293334961,-0.03864813596010208,-0.01262684352695942,0.0833333358168602,0.05337988957762718,0.1913032978773117,2.0,2.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.0439606864238158,position_hardening_margin_lowsensitivity,0.02,8,0.2,0,0.12,M9c,1,0.0,1.0,0.0,-4.122091293334961,protenix_contact,0.9451421499252319,,,,,,,,0,2.7846856117248535,2.211869239807129,-0.5728163719177246,0,1.3320600986480713,1.0,-0.0024764728732407093
3,0.00784071534872055,0.06294226047910018,-0.07045241338722458,-0.14689879356072527,-0.11182915530849792,0.0,0.1419733827942901,0.00012758251978084445,-0.7147023677825928,0.004449206870049238,0.00784071534872055,0.125,0.12453588843345642,0.2555883526802063,1.0,3.0,6.21568615315482e-05,3.0389468669891357,0.07598330080509186,3.3205204010009766,-0.17557121576101054,position_hardening_margin_lowsensitivity,0.02,8,0.2,0,0.12,M9c,1,0.0,1.0,0.75,-0.7147023677825928,protenix_contact,0.4281584620475769,,,,,,,,0,2.211869239807129,2.124352216720581,-0.08751702308654785,1,0.876502513885498,1.0,0.00784071534872055
